antID,nursing,foraging,tropholaxis,cleaning,module,age,queen,lane,prep,nursebox,foragebox,boxratio,soft,N_Q_contacts,Prop_time_foraging,N_exits,Prop_time_guarding_2BL_FPT500sec,Prop_time_guarding_2BL_FPT1000sec,Prop_time_guarding_2BL_FPT2000sec,N_guarding_bouts_2BL_FPT500sec,N_guarding_bouts_2BL_FPT1000sec,N_guarding_bouts_2BL_FPT2000sec,Prop_time_in_BroodPile,N_BroodPile_visits,Prop_time_in_Food1,Prop_time_in_Food2,Prop_time_in_Food3,Prop_time_in_TrashPile,N_TrashPile_visits
135,6,0,3,3,2,NA,0,9,Crushed,2525219,1,3.96E-07,0.146511186,0.000118184,3.40E-07,3.40E-07,0.000654426,0.000100864,6.79E-06,2.48E-05,9.17E-06,1.02E-06,0.062235296,0.000708763,0,0,0,0.000643898,4.62E-05
139,4,0,2,12,0,13,0,2,Crushed,2864660,0,0,0.331786993,9.33E-05,0,0,0.012470533,0.009615732,0.008113451,0.000137726,9.96E-05,4.98E-05,0.073292836,0.000403149,0,0,0,0.015487128,0.00027612
147,0,0,2,6,0,10,0,9,Crushed,2986792,12495,0.00416599,0.778850445,4.20E-05,0.004186082,3.36E-07,0.023490324,0.016824545,0.012834141,0.00026549,0.000199369,0.000120494,0.003262069,5.37E-05,1.68E-06,0,0,0.009667392,8.66E-05
149,0,4,1,0,1,19,0,8,Crushed,2908897,294884,0.092042496,0.941376107,6.52E-05,0.118497614,2.01E-06,0.027692977,0.020380327,0.010636837,0.0005906,0.000387694,0.000143322,4.83E-06,8.05E-07,0.003048413,3.62E-05,3.22E-06,0.002034289,2.54E-05
153,15,0,11,0,2,NA,0,8,Crushed,1745572,0,0,0.129897599,0.000125079,0,0,2.67E-05,0,0,1.37E-06,0,0,0.117015554,0.000484253,0,0,0,0.00014695,1.09E-05
156,21,0,10,1,2,14,0,6,Crushed,2955576,0,0,0.084816801,0.000218635,0,0,3.35E-06,0,0,1.34E-06,0,0,0.116117875,0.000563161,0,0,0,0.001112594,3.68E-05
159,0,0,1,141,0,24,0,4,Crushed,2957843,80248,0.026413955,0.567090279,9.34E-05,0.028027605,1.71E-05,0.000207425,0.000122426,7.21E-05,1.85E-05,1.05E-05,5.95E-06,0.005502193,0.000267939,0.002269436,0.000474315,0.00024905,0.139487418,0.004167745
161,26,0,3,4,2,21,0,9,Crushed,2897711,9601,0.003302363,0.109464548,0.000423872,0.003381046,3.55E-07,0.00156744,1.42E-05,4.97E-06,1.77E-05,1.42E-06,3.55E-07,0.157070366,0.000562207,1.17E-05,5.68E-06,7.09E-07,0.001263458,8.65E-05
169,0,6,3,1,1,11,0,1,Crushed,2998072,443872,0.128959681,0.787554448,4.50E-05,0.174671042,4.34E-06,0.030245458,0.025302206,0.022647102,0.000290014,0.000196894,0.000140864,0.001641832,4.89E-05,0.002444795,0.001256726,0.002861073,0.004155678,8.44E-05
170,0,0,6,3,1,17,0,9,Crushed,2153588,2,9.29E-07,0.726897605,4.54E-05,6.73E-07,6.73E-07,0.005350707,0.001636509,0.000475843,8.48E-05,3.30E-05,9.76E-06,0.008145189,9.73E-05,0,0,0,0.000341234,2.49E-05
173,0,0,4,17,1,33,0,4,Crushed,737771,0,0,0.753887238,8.01E-05,0,0,0.063224017,0.048676768,0.024289285,0.00040302,0.000335509,0.000169118,0.001390453,2.01E-05,0,0,0,0.004300244,0.000124793
192,14,0,5,1,2,15,0,2,Crushed,3021160,0,0,0.156736037,0.000157529,0,0,6.45E-06,0,0,2.04E-06,0,0,0.063473121,0.000312343,0,0,0,0.000526569,3.63E-05
207,4,0,10,2,2,14,0,1,Crushed,3031260,0,0,0.187911332,0.000131212,0,0,0,0,0,0,0,0,0.055110182,0.00033477,0,0,0,0.000561349,3.88E-05
212,0,5,0,4,1,16,0,4,Crushed,2980871,881151,0.228157944,0.966371549,1.94E-05,0.448503069,1.12E-05,0.028833834,0.014678069,0.001886211,0.000342762,0.000132616,3.93E-05,0.000340212,7.14E-06,2.70E-05,2.91E-05,0.000293286,0.001082353,5.10E-05
215,55,0,2,2,2,NA,0,8,Crushed,2546480,0,0,0.036379647,0.000262608,0,0,4.08E-06,0,0,2.04E-06,0,0,0.185467422,0.000986482,0,0,0,0.000918789,5.31E-05
