"ant1","ant2","space","weight","duration","weightHH","durationHH"
1,111,1,76,709.833986282349,38,455.000390052795
1,111,2,5,3.50000810623169,4,2.33327412605286
1,112,1,70,279.663640737534,27,112.331237316132
1,113,1,152,535.66995549202,34,91.8334465026855
1,113,2,72,141.833971977234,46,106.166683673859
1,114,1,190,770.501751899719,61,235.167522668839
1,115,1,38,46.8345639705658,18,26.5004706382751
1,116,1,55,255.66814661026,15,111.333342790604
1,117,1,48,165.168664932251,16,51.5006201267242
1,118,1,44,194.833349227905,12,19.1671237945557
1,119,1,6,5.6672842502594,1,0.333842039108276
1,119,2,83,167.668285608292,34,56.8324265480042
1,120,1,131,823.336611509323,50,365.166856765747
1,121,1,211,1482.00704622269,121,1002.17223215103
1,121,2,26,59.4995422363281,16,49.4998381137848
1,122,1,180,1115.00654125214,87,574.502371549606
1,122,2,45,94.1666736602783,18,21.9980845451355
1,123,1,170,1707.16739439964,78,827.339132547379
1,123,2,36,44.6685326099396,14,23.0012464523315
1,124,1,373,3044.33936548233,86,249.000024080276
1,125,1,192,958.83638715744,76,466.003403425217
1,125,2,36,56.1661970615387,14,28.1662750244141
1,126,1,546,7785.18749499321,156,1737.17098689079
1,126,2,1,1.50002598762512,0,0
1,127,1,5,20.8334121704102,4,19.8334150314331
2,3,1,388,1304.16383719444,162,449.497839927673
2,4,1,350,1320.33164095879,104,236.498497724533
2,5,1,232,663.1656229496,91,279.836619377136
2,6,1,108,190.334710836411,41,85.167026758194
2,7,1,140,507.001336574554,46,234.168488740921
2,8,1,149,417.001910686493,65,181.500412940979
2,9,1,466,1914.66678833961,226,952.667861461639
2,10,1,163,349.828295230865,66,180.49675822258
2,11,1,1009,5088.16312789917,553,2154.33577919006
2,12,1,690,4444.68180322647,264,1623.67278552055
2,13,1,382,1601.3412168026,189,1050.67496204376
2,14,1,31,38.1651611328125,20,28.8324990272522
2,15,1,135,328.502829790115,54,89.0004136562347
2,16,1,562,3062.17540979385,186,968.003071069717
2,17,1,196,514.001525163651,52,96.9989860057831
2,18,1,110,777.658843755722,41,111.164266109467
2,19,1,478,1898.01046943665,178,602.336982488632
2,20,1,32,50.8331718444824,21,42.1678018569946
2,21,1,128,502.500629901886,37,95.3350832462311
2,22,1,10,27.6673069000244,6,5.83320569992065
2,23,1,187,641.667373180389,90,330.503592729568
2,24,1,169,759.674482107162,75,384.338867425919
2,25,1,255,750.668966770172,112,284.999614715576
2,26,1,32,40.8351724147797,12,23.5011949539185
2,27,1,523,2829.00484466553,176,624.66654920578
2,28,1,209,623.163860082626,81,208.999552965164
2,29,1,257,729.837354898453,88,222.50252866745
2,30,1,1,0.333424091339111,1,0.333424091339111
2,31,1,372,1515.51068115234,127,459.337042570114
2,32,1,765,3081.66378068924,274,879.996624708176
2,33,1,7,10.3338568210602,5,9.1671187877655
2,34,1,10,11.9984624385834,4,7.66611528396606
2,35,1,68,205.999572515488,27,63.5001382827759
2,36,1,44,83.3328151702881,21,47.4982917308807
2,37,1,7,10.833279132843,4,8.16660380363464
2,38,1,177,456.335012435913,79,178.336851596832
2,40,1,292,865.169504880905,93,432.666041135788
2,41,1,91,269.500871658325,28,53.8336527347565
2,42,1,533,2491.50757002831,357,1689.3355691433
2,43,1,495,2986.84479689598,158,769.838318824768
2,44,1,303,1078.50336527824,112,392.16917014122
2,45,1,37,92.0004281997681,10,33.0005693435669
2,46,1,187,377.663643836975,81,161.499289035797
2,47,1,239,1661.83710670471,151,865.334642410278
2,48,1,540,3878.00840520859,148,1632.33500409126
2,49,1,80,218.165866374969,41,100.833020925522
2,50,1,453,2342.66668057442,172,880.834718227386
2,51,1,8,11.1667296886444,2,1.99998784065247
2,52,1,287,1331.50109958649,168,754.166600942612
2,53,1,335,1302.17090630531,178,595.002562522888
2,54,1,113,203.002517938614,47,88.5004391670227
